"Date","Price","Open","High","Low","Change %"
"Dec 21, 2014","0.521","0.523","0.540","0.509","0.19%"
"Dec 14, 2014","0.520","0.558","0.578","0.495","-5.63%"
"Dec 07, 2014","0.551","0.701","0.712","0.544","-22.07%"
"Nov 30, 2014","0.707","0.615","0.714","0.613","13.30%"
"Nov 23, 2014","0.624","0.606","0.655","0.559","3.31%"
"Nov 16, 2014","0.604","0.601","0.689","0.597","-2.74%"
"Nov 09, 2014","0.621","0.651","0.684","0.613","-5.34%"
"Nov 02, 2014","0.656","0.668","0.704","0.642","-3.53%"
"Oct 26, 2014","0.680","0.736","0.754","0.671","-6.59%"
"Oct 19, 2014","0.728","0.701","0.741","0.665","2.97%"
"Oct 12, 2014","0.707","0.697","0.737","0.556","-2.35%"
"Oct 05, 2014","0.724","0.749","0.765","0.690","-5.11%"
"Sep 28, 2014","0.763","0.795","0.813","0.722","-3.66%"
"Sep 21, 2014","0.792","0.845","0.862","0.774","-8.86%"
"Sep 14, 2014","0.869","0.911","0.938","0.855","-4.71%"
"Sep 07, 2014","0.912","0.809","0.924","0.786","13.72%"
"Aug 31, 2014","0.802","0.775","0.858","0.764","4.02%"
"Aug 24, 2014","0.771","0.857","0.858","0.748","-11.07%"
"Aug 17, 2014","0.867","0.870","0.904","0.843","2.12%"
"Aug 10, 2014","0.849","0.951","0.964","0.846","-8.71%"
"Aug 03, 2014","0.930","1.012","1.060","0.900","-8.28%"
"Jul 27, 2014","1.014","1.016","1.074","0.981","-0.49%"
"Jul 20, 2014","1.019","1.019","1.062","1.005","-0.39%"
"Jul 13, 2014","1.023","1.081","1.087","1.001","-4.12%"
"Jul 06, 2014","1.067","1.129","1.139","1.032","-5.16%"
"Jun 29, 2014","1.125","1.089","1.196","1.059","3.40%"
"Jun 22, 2014","1.088","1.167","1.176","1.062","-6.93%"
"Jun 15, 2014","1.169","1.182","1.239","1.124","-2.09%"
"Jun 08, 2014","1.194","1.195","1.267","1.169","1.44%"
"Jun 01, 2014","1.177","1.184","1.310","1.149","-0.25%"
"May 25, 2014","1.180","1.235","1.252","1.150","-4.30%"
"May 18, 2014","1.233","1.203","1.258","1.186","1.99%"
"May 11, 2014","1.209","1.340","1.347","1.170","-9.17%"
"May 04, 2014","1.331","1.325","1.371","1.311","0.15%"
"Apr 27, 2014","1.329","1.365","1.412","1.316","-1.85%"
"Apr 20, 2014","1.354","1.401","1.429","1.348","-2.38%"
"Apr 13, 2014","1.387","1.379","1.408","1.342","0.43%"
"Apr 06, 2014","1.381","1.375","1.429","1.360","-0.14%"
"Mar 30, 2014","1.383","1.373","1.468","1.371","0.66%"
"Mar 23, 2014","1.374","1.473","1.486","1.332","-6.02%"
"Mar 16, 2014","1.462","1.377","1.495","1.368","6.64%"
"Mar 09, 2014","1.371","1.460","1.490","1.334","-7.30%"
"Mar 02, 2014","1.479","1.398","1.509","1.377","1.93%"
"Feb 23, 2014","1.451","1.486","1.521","1.370","-2.75%"
